-999 -999 -999     0.17500    4.63000    5.23393 -999.00000 -999.00000
-999 -999 -999    -9.28700    4.63000    5.12567 -999.00000 -999.00000
-999 -999 -999    -5.67100    4.63000    4.99533 -999.00000 -999.00000
-999 -999 -999    -2.71700    4.57000    4.90019 -999.00000 -999.00000
-999 -999 -999    -2.01700    4.45000    4.82447 -999.00000 -999.00000
-999 -999 -999     0.28800    4.44000    4.76404 -999.00000 -999.00000
-999 -999 -999     1.41700    4.44000    4.71976 -999.00000 -999.00000
-999 -999 -999     1.65800    4.44000    4.68225 -999.00000 -999.00000
-999 -999 -999    -0.44200    4.44000    4.63788 -999.00000 -999.00000
-999 -999 -999    -0.62900    4.45000    4.58529 -999.00000 -999.00000
-999 -999 -999     2.15800    3.09000    4.54452 -999.00000 -999.00000
-999 -999 -999     4.73700    3.73000    4.52606 -999.00000 -999.00000
-999 -999 -999     4.49200    4.40000    4.51720 -999.00000 -999.00000
-999 -999 -999     3.28300    3.40000    4.50273 -999.00000 -999.00000
-999 -999 -999     4.00000    3.06000    4.48660 -999.00000 -999.00000
-999 -999 -999     2.83300    4.11000    4.46898 -999.00000 -999.00000
-999 -999 -999     3.37900    4.07000    4.44930 -999.00000 -999.00000
-999 -999 -999     4.24600    3.72000    4.43550 -999.00000 -999.00000
-999 -999 -999     0.29600    3.72000    4.41001 -999.00000 -999.00000
-999 -999 -999    -5.09600    3.33000    4.34937 -999.00000 -999.00000
-999 -999 -999    -0.89600    3.33000    4.28606 -999.00000 -999.00000
-999 -999 -999    -2.05000    3.29000    4.23575 -999.00000 -999.00000
1994    1    1    -5.61200 -999.00000    4.16965 -999.00000 -999.00000
1994    1    2   -12.48700 -999.00000    4.06865 -999.00000 -999.00000
1994    1    3    -9.49200 -999.00000    3.95812 -999.00000 -999.00000
1994    1    4    -7.10400 -999.00000    3.86787 -999.00000 -999.00000
1994    1    5   -14.69600 -999.00000    3.76054 -999.00000 -999.00000
1994    1    6   -10.78800 -999.00000    3.64164 -999.00000 -999.00000
1994    1    7    -9.23700 -999.00000    3.54274 -999.00000 -999.00000
1994    1    8    -8.95800 -999.00000    3.45117 -999.00000 -999.00000
1994    1    9   -10.49600 -999.00000    3.35621 -999.00000 -999.00000
1994    1   10    -4.57900 -999.00000    3.27741 -999.00000 -999.00000
1994    1   11    -8.69200 -999.00000    3.20566 -999.00000 -999.00000
1994    1   12    -8.06700 -999.00000    3.12269 -999.00000 -999.00000
